City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,bengkulu,100,ID,overcast clouds,88,-3.8004,102.2655,75.74,0.0,0.0,3.02
1,barrow,90,US,haze,77,71.2906,-156.7887,-3.98,0.0,0.0,3.44
2,knin,97,HR,overcast clouds,93,44.0439,16.2,45.59,0.0,0.0,6.4
3,pacific grove,1,US,clear sky,68,36.6177,-121.9166,56.88,0.0,0.0,5.01
4,yenagoa,33,NG,scattered clouds,89,4.9247,6.2642,78.78,0.0,0.0,4.25
5,albany,88,US,overcast clouds,79,42.6001,-73.9662,37.31,0.0,0.0,2.77
6,ushuaia,75,AR,broken clouds,87,-54.8,-68.3,46.06,0.0,0.0,16.11
7,east london,96,ZA,overcast clouds,54,-33.0153,27.9116,79.02,0.0,0.0,11.65
8,adrar,97,MR,overcast clouds,14,20.5022,-10.0711,66.49,0.0,0.0,10.8
9,honningsvag,100,NO,overcast clouds,73,70.9821,25.9704,28.49,0.0,0.0,15.23
10,hithadhoo,99,MV,overcast clouds,75,-0.6,73.0833,81.21,0.0,0.0,8.66
11,cayenne,0,GF,clear sky,90,4.9333,-52.3333,79.09,0.0,0.0,2.3
12,somerset east,43,ZA,scattered clouds,63,-32.7217,25.588,69.91,0.0,0.0,10.11
13,carnarvon,0,AU,clear sky,60,-24.8667,113.6333,75.27,0.0,0.0,21.85
14,ternate,78,ID,broken clouds,81,0.8,127.4,82.74,0.0,0.0,6.58
15,calama,21,CL,few clouds,36,-22.4667,-68.9333,59.49,0.0,0.0,24.16
16,arlit,73,NE,broken clouds,12,18.7369,7.3853,65.91,0.0,0.0,7.94
17,tosya,81,TR,broken clouds,69,41.0155,34.0401,42.67,0.0,0.0,3.74
18,thompson,90,CA,light snow,85,55.7435,-97.8558,14.16,0.0,0.0,9.22
19,richards bay,34,ZA,scattered clouds,89,-28.783,32.0377,74.91,0.0,0.0,14.41
20,rikitea,67,PF,broken clouds,69,-23.1203,-134.9692,76.33,0.0,0.0,18.14
21,shakiso,40,ET,scattered clouds,39,5.75,38.9167,48.96,0.0,0.0,4.81
22,vilhena,82,BR,heavy intensity rain,95,-12.7406,-60.1458,71.08,4.21,4.21,2.26
23,ribeira brava,28,PT,scattered clouds,69,32.65,-17.0667,65.03,0.0,0.0,9.78
24,renukut,0,IN,clear sky,60,24.2,83.0333,54.45,0.0,0.0,2.77
25,airai,74,TL,broken clouds,71,-8.9266,125.4092,70.3,0.0,0.0,1.88
26,ocos,4,GT,clear sky,75,14.5094,-92.1933,86.5,0.0,0.0,5.61
27,bodden town,20,KY,few clouds,83,19.2833,-81.25,80.6,0.0,0.0,3.0
28,hobart,75,AU,broken clouds,62,-42.8794,147.3294,59.25,0.0,0.0,1.01
29,lorengau,100,PG,moderate rain,86,-2.0226,147.2712,81.73,2.3,2.3,16.87
30,jamestown,40,US,scattered clouds,79,42.097,-79.2353,46.04,0.0,0.0,1.99
31,bethel,1,US,clear sky,80,41.3712,-73.414,41.67,0.0,0.0,0.0
32,sechura,90,PE,overcast clouds,72,-5.5569,-80.8222,71.58,0.0,0.0,16.89
33,mataura,100,NZ,overcast clouds,83,-46.1927,168.8643,56.48,0.0,0.0,6.29
34,omsukchan,59,RU,broken clouds,77,62.5333,155.8,-23.78,0.0,0.0,2.93
35,hambantota,70,LK,broken clouds,86,6.1241,81.1185,76.32,0.0,0.0,13.56
36,gryazi,3,RU,clear sky,62,52.4966,39.9359,25.75,0.0,0.0,7.63
37,egvekinot,35,RU,scattered clouds,81,66.3167,-179.1667,-22.99,0.0,0.0,5.68
38,linxia,100,CN,overcast clouds,56,35.6003,103.2064,29.34,0.0,0.0,2.95
39,oriximina,67,BR,broken clouds,81,-1.7656,-55.8661,79.5,0.0,0.0,2.62
40,novyy yegorlyk,51,RU,broken clouds,76,46.3927,41.8716,37.85,0.0,0.0,7.67
41,khatanga,100,RU,overcast clouds,100,71.9667,102.5,-43.71,0.0,0.0,5.03
42,santa isabel,4,BR,clear sky,96,-23.3156,-46.2214,67.66,0.0,0.0,2.75
43,mildura,1,AU,clear sky,40,-34.2,142.15,71.08,0.0,0.0,6.91
44,rongcheng,5,CN,clear sky,77,30.634,117.8517,49.62,0.0,0.0,2.48
45,saint-philippe,92,RE,overcast clouds,74,-21.3585,55.7679,74.75,0.0,0.0,7.54
46,punta arenas,20,CL,few clouds,71,-53.15,-70.9167,51.91,0.0,0.0,13.8
47,codrington,58,AU,broken clouds,51,-38.2667,141.9667,63.99,0.0,0.0,10.89
48,hilo,75,US,broken clouds,32,19.7297,-155.09,78.53,0.0,0.0,9.22
49,hirara,20,JP,few clouds,64,24.8,125.2833,73.26,0.0,0.0,11.5
50,port alfred,91,ZA,overcast clouds,70,-33.5906,26.891,74.21,0.0,0.0,7.02
51,cape town,75,ZA,broken clouds,84,-33.9258,18.4232,63.12,0.0,0.0,12.66
52,dunedin,100,NZ,overcast clouds,70,-45.8742,170.5036,59.81,0.0,0.0,4.0
53,bandarbeyla,4,SO,clear sky,78,9.4942,50.8122,74.98,0.0,0.0,17.13
54,iqaluit,75,CA,light snow,72,63.7506,-68.5145,2.93,0.0,0.0,10.36
55,salym,99,RU,overcast clouds,89,60.0625,71.4789,11.05,0.0,0.0,11.21
56,dikson,100,RU,overcast clouds,81,73.5069,80.5464,-14.66,0.0,0.0,3.11
57,arraial do cabo,51,BR,broken clouds,79,-22.9661,-42.0278,72.99,0.0,0.0,5.77
58,bluff,100,NZ,overcast clouds,70,-46.6,168.3333,56.8,0.0,0.0,12.71
59,hermanus,31,ZA,scattered clouds,86,-34.4187,19.2345,63.81,0.0,0.0,10.6
60,cherskiy,100,RU,overcast clouds,97,68.75,161.3,-31.29,0.0,0.0,3.67
61,tocopilla,24,CL,few clouds,66,-22.092,-70.1979,64.94,0.0,0.0,4.21
62,kaitangata,100,NZ,overcast clouds,82,-46.2817,169.8464,56.93,0.0,0.0,12.1
63,pevek,100,RU,overcast clouds,96,69.7008,170.3133,-29.16,0.0,0.0,2.91
64,kloulklubed,65,PW,broken clouds,78,7.0419,134.2556,84.7,0.0,0.0,7.85
65,pozzallo,100,IT,light rain,88,36.7305,14.8499,56.05,0.34,0.34,30.87
66,puerto ayora,79,EC,broken clouds,90,-0.7393,-90.3518,69.03,0.0,0.0,10.51
67,ponta do sol,30,PT,scattered clouds,67,32.6667,-17.1,65.03,0.0,0.0,8.57
68,lagoa,4,PT,clear sky,79,39.05,-27.9833,63.3,0.0,0.0,17.27
69,tuktoyaktuk,75,CA,broken clouds,77,69.4541,-133.0374,-11.2,0.0,0.0,5.75
70,indramayu,100,ID,overcast clouds,81,-6.3264,108.32,79.65,0.0,0.0,8.55
71,alofi,58,NU,light rain,65,-19.0595,-169.9187,84.09,0.62,0.62,9.22
72,kapaa,90,US,moderate rain,84,22.0752,-159.319,80.58,1.27,1.27,1.01
73,yellowknife,20,CA,few clouds,87,62.456,-114.3525,-10.59,0.0,0.0,10.36
74,alpena,75,US,broken clouds,96,45.0617,-83.4327,37.54,0.0,0.0,3.0
75,lanzhou,100,CN,overcast clouds,62,36.0564,103.7922,27.68,0.0,0.0,3.69
76,seminole,1,US,clear sky,86,28.7086,-81.2081,76.62,0.0,0.0,6.91
77,bissendorf,28,DE,scattered clouds,95,52.2333,8.1667,33.08,0.0,0.0,1.88
78,kushmurun,100,KZ,overcast clouds,85,52.4503,64.6311,12.2,0.0,0.0,4.16
79,beyneu,100,KZ,overcast clouds,96,45.3167,55.2,36.88,0.0,0.0,18.92
80,lebu,47,CL,scattered clouds,92,-37.6167,-73.65,55.69,0.0,0.0,8.81
81,college,90,US,light snow,82,64.8569,-147.8028,10.35,0.0,0.0,3.44
82,mangaratiba,68,BR,broken clouds,81,-22.9597,-44.0406,75.02,0.0,0.0,1.83
83,kruisfontein,18,ZA,light rain,95,-34.0033,24.7314,67.89,0.11,0.11,8.41
84,pangnirtung,60,CA,broken clouds,89,66.1451,-65.7125,-11.78,0.0,0.0,4.61
85,san ignacio,75,BZ,broken clouds,83,17.1561,-89.0714,78.94,0.0,0.0,0.0
86,praia da vitoria,40,PT,scattered clouds,94,38.7333,-27.0667,63.75,0.0,0.0,10.85
87,yar-sale,100,RU,light snow,94,66.8333,70.8333,11.52,0.0,0.0,15.14
88,lompoc,1,US,clear sky,62,34.6391,-120.4579,62.91,0.0,0.0,8.05
89,erdenet,7,MN,clear sky,52,49.0333,104.0833,4.95,0.0,0.0,4.32
90,kalga,51,RU,broken clouds,94,50.9251,118.898,-2.11,0.0,0.0,3.56
91,burnie,96,AU,overcast clouds,54,-41.0667,145.9167,61.0,0.0,0.0,9.22
92,mar del plata,100,AR,overcast clouds,89,-38.0023,-57.5575,69.1,0.0,0.0,4.0
